fecha,codigosucursal,codigovariable,valor
22/03/2018,1,1,498830.57
22/03/2018,1,2,108.00
22/03/2018,1,3,4618.80
22/03/2018,1,4,159.00
22/03/2018,1,5,78.20
22/03/2018,1,6,453.48
22/03/2018,1,7,0.75
22/03/2018,1,8,22.00
22/03/2018,1,9,65311.06
22/03/2018,1,10,1.00
22/03/2018,1,11,299.00
22/03/2018,1,12,355202.17
22/03/2018,1,13,9.32
22/03/2018,1,14,5002.85
22/03/2018,1,15,453906.08
22/03/2018,1,16,11.00
22/03/2018,1,17,35726.92
22/03/2018,1,18,0.04
22/03/2018,1,19,0.00
22/03/2018,1,20,2.00
22/03/2018,1,21,1.00
22/03/2018,1,22,5.00
22/03/2018,1,23,2.00
22/03/2018,1,24,8.00
22/03/2018,1,25,3.00
22/03/2018,1,26,2.00
22/03/2018,1,27,0.00
22/03/2018,1,28,3.00
22/03/2018,1,29,2.00
22/03/2018,1,30,0.00
22/03/2018,1,31,3.00
22/03/2018,1,32,1.00
22/03/2018,1,33,3.00
22/03/2018,1,34,3.00
22/03/2018,1,35,1.00
22/03/2018,1,36,5.00
22/03/2018,1,37,9.00
22/03/2018,1,38,7.00
22/03/2018,1,39,0.00
22/03/2018,1,40,4.00
22/03/2018,2,1,228585.66
22/03/2018,2,2,77.00
22/03/2018,2,3,2968.64
22/03/2018,2,4,111.00
22/03/2018,2,5,70.96
22/03/2018,2,6,138.54
22/03/2018,2,7,0.43
22/03/2018,2,8,17.00
22/03/2018,2,9,48318.98
22/03/2018,2,10,0.00
22/03/2018,2,11,217.00
22/03/2018,2,12,123049.74
22/03/2018,2,13,8.28
22/03/2018,2,14,3155.12
22/03/2018,2,15,231655.56
22/03/2018,2,16,24.00
22/03/2018,2,17,92867.14
22/03/2018,2,18,0.11
22/03/2018,2,19,0.00
22/03/2018,2,20,2.00
22/03/2018,2,21,2.00
22/03/2018,2,22,2.00
22/03/2018,2,23,0.00
22/03/2018,2,24,5.00
22/03/2018,2,25,2.00
22/03/2018,2,26,1.00
22/03/2018,2,27,0.00
22/03/2018,2,28,1.00
22/03/2018,2,29,0.00
22/03/2018,2,30,1.00
22/03/2018,2,31,0.00
22/03/2018,2,32,0.00
22/03/2018,2,33,0.00
22/03/2018,2,34,1.00
22/03/2018,2,35,1.00
22/03/2018,2,36,4.00
22/03/2018,2,37,8.00
22/03/2018,2,38,3.00
22/03/2018,2,39,0.00
22/03/2018,2,40,0.00
22/03/2018,3,1,562953.55
22/03/2018,3,2,94.00
22/03/2018,3,3,5988.87
22/03/2018,3,4,134.00
22/03/2018,3,5,70.11
22/03/2018,3,6,281.48
22/03/2018,3,7,0.51
22/03/2018,3,8,13.00
22/03/2018,3,9,28321.24
22/03/2018,3,10,3.00
22/03/2018,3,11,314.00
22/03/2018,3,12,241766.82
22/03/2018,3,13,10.20
22/03/2018,3,14,6044.17
22/03/2018,3,15,544393.35
22/03/2018,3,16,4.00
22/03/2018,3,17,30274.46
22/03/2018,3,18,0.01
22/03/2018,3,19,1.00
22/03/2018,3,20,2.00
22/03/2018,3,21,0.00
22/03/2018,3,22,1.00
22/03/2018,3,23,0.00
22/03/2018,3,24,12.00
22/03/2018,3,25,11.00
22/03/2018,3,26,1.00
22/03/2018,3,27,0.00
22/03/2018,3,28,3.00
22/03/2018,3,29,1.00
22/03/2018,3,30,2.00
22/03/2018,3,31,0.00
22/03/2018,3,32,1.00
