fecha,codigosucursal,codigovariable,valor
07/04/2018,1,1,59499.79
07/04/2018,1,2,16.00
07/04/2018,1,3,3718.74
07/04/2018,1,4,22.00
07/04/2018,1,5,101.75
07/04/2018,1,6,54.09
07/04/2018,1,7,0.74
07/04/2018,1,8,12.00
07/04/2018,1,9,20071.89
07/04/2018,1,10,0.00
07/04/2018,1,11,296.00
07/04/2018,1,12,69686.15
07/04/2018,1,13,9.62
07/04/2018,1,14,3318.39
07/04/2018,1,15,130738.73
07/04/2018,1,16,8.00
07/04/2018,1,17,28101.33
07/04/2018,1,18,0.03
07/04/2018,1,19,0.00
07/04/2018,1,20,0.00
07/04/2018,1,21,0.00
07/04/2018,1,22,0.00
07/04/2018,1,23,0.00
07/04/2018,1,24,2.00
07/04/2018,1,25,0.00
07/04/2018,1,26,0.00
07/04/2018,1,27,0.00
07/04/2018,1,28,0.00
07/04/2018,1,29,0.00
07/04/2018,1,30,-2.00
07/04/2018,1,31,3.00
07/04/2018,1,32,0.00
07/04/2018,1,33,0.00
07/04/2018,1,34,0.00
07/04/2018,1,35,2.00
07/04/2018,1,36,1.00
07/04/2018,1,37,2.00
07/04/2018,1,38,0.00
07/04/2018,1,39,0.00
07/04/2018,1,40,0.00
07/04/2018,2,1,41364.75
07/04/2018,2,2,13.00
07/04/2018,2,3,3181.90
07/04/2018,2,4,16.00
07/04/2018,2,5,68.60
07/04/2018,2,6,25.07
07/04/2018,2,7,0.42
07/04/2018,2,8,3.00
07/04/2018,2,9,5599.20
07/04/2018,2,10,0.00
07/04/2018,2,11,208.00
07/04/2018,2,12,23529.56
07/04/2018,2,13,10.17
07/04/2018,2,14,3921.59
07/04/2018,2,15,95345.04
07/04/2018,2,16,18.00
07/04/2018,2,17,82421.40
07/04/2018,2,18,0.09
07/04/2018,2,19,0.00
07/04/2018,2,20,0.00
07/04/2018,2,21,0.00
07/04/2018,2,22,0.00
07/04/2018,2,23,0.00
07/04/2018,2,24,1.00
07/04/2018,2,25,1.00
07/04/2018,2,26,0.00
07/04/2018,2,27,1.00
07/04/2018,2,28,2.00
07/04/2018,2,29,0.00
07/04/2018,2,30,0.00
07/04/2018,2,31,0.00
07/04/2018,2,32,0.00
07/04/2018,2,33,0.00
07/04/2018,2,34,0.00
07/04/2018,2,35,0.00
07/04/2018,2,36,1.00
07/04/2018,2,37,0.00
07/04/2018,2,38,0.00
07/04/2018,2,39,0.00
07/04/2018,2,40,0.00
07/04/2018,3,1,177885.21
07/04/2018,3,2,36.00
07/04/2018,3,3,4941.26
07/04/2018,3,4,45.00
07/04/2018,3,5,67.24
07/04/2018,3,6,88.94
07/04/2018,3,7,0.49
07/04/2018,3,8,1.00
07/04/2018,3,9,1399.92
07/04/2018,3,10,2.00
07/04/2018,3,11,302.00
07/04/2018,3,12,95885.90
07/04/2018,3,13,9.74
07/04/2018,3,14,5046.63
