codigo,nombre,tipo
1,"ventas_totales","float"
2,"cantidad_ventas","integer"
3,"promedio_ventas","float"
4,"cantidad_productos","integer"
5,"markup","float"
6,"consumo","float"
7,"fidelizacion","float"
8,"coberturas","integer"
9,"monto_asegurado","float"
10,"primera_compra","integer"
11,"resumenes","integer"
12,"consumos_pampeana","float"
13,"promedio_cuotas","integer"
14,"promedio_ticket","float"
15,"cobranza_pampeana","float"
16,"clientes_mora","integer"
17,"monto_mora","float"
18,"porcentaje_mora","float"
19,"freezers","integer"
20,"heladeras","integer"
21,"microondas","integer"
22,"lavarropas","integer"
23,"cocinas","integer"
24,"celulares","integer"
25,"leds","integer"
26,"notebooks","integer"
27,"impresoras","integer"
28,"tablets","integer"
29,"calefactores","integer"
30,"aires","integer"
31,"placares","integer"
32,"baterias","integer"
33,"cubiertas","integer"
34,"bicicletas","integer"
35,"termotanques","integer"
36,"colchones","integer"
37,"calzados","integer"
38,"linea_blanca","integer"
39,"perfumes","integer"
40,"valijas","integer"
